Time,Category,Message,
8/5/2026 11:13:57 PM,Position,Instrument='MES SEP26' Account='Sim101' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
8/5/2026 11:13:57 PM,Execution,Execution='3b994751ca1c4f829f20ceaf0ab6c952' Instrument='MES SEP26' Account='Sim101' Exchange=Default Price=7756.5 Quantity=8 Market position=Short Operation=Operation_Add Order='68c192e0d3db4a6ea56eff954c3335d7' Time='8/5/2026 11:13 PM',
8/5/2026 11:13:57 PM,Order,Order='68c192e0d3db4a6ea56eff954c3335d7/Sim101' Name='Close' New state='Filled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=8 Type='Market' Time in force=DAY Oco='' Filled=8 Fill price=7756.5 Error='No error' Native error='',
8/5/2026 11:13:57 PM,Order,Order='68c192e0d3db4a6ea56eff954c3335d7/Sim101' Name='Close' New state='Working' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=8 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
8/5/2026 11:13:57 PM,Order,Order='68c192e0d3db4a6ea56eff954c3335d7/Sim101' Name='Close' New state='Accepted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=8 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
8/5/2026 11:13:57 PM,Default,'AtmStrategyCreate method error: Strategy template name parameter missing,
8/5/2026 11:13:57 PM,Order,Order='68c192e0d3db4a6ea56eff954c3335d7/Sim101' Name='Close' New state='Submitted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=8 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
8/5/2026 11:13:57 PM,Order,Order='0418935ef69446dc811589066be0d8f5/Sim101' Name='Stop2' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7753.5 Quantity=4 Type='Stop Market' Time in force=GTC Oco='54fe3756b3674dd6af4e9795c7494e26' Filled=0 Fill price=0 Error='No error' Native error='',
8/5/2026 11:13:57 PM,Order,Order='d9ba30ea523a4289a9a17a54c8593c69/Sim101' Name='Stop1' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7753.5 Quantity=4 Type='Stop Market' Time in force=GTC Oco='93393bfffe0040909907ed555e857257' Filled=0 Fill price=0 Error='No error' Native error='',
8/5/2026 11:13:57 PM,Order,Order='b9b105615ceb416190c6342d884eae9b/Sim101' Name='Target2' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=7761 Stop price=0 Quantity=4 Type='Limit' Time in force=GTC Oco='54fe3756b3674dd6af4e9795c7494e26' Filled=0 Fill price=0 Error='No error' Native error='',
8/5/2026 11:13:57 PM,Order,Order='f9b316c38ab74d5d97a0b4597c268d2d/Sim101' Name='Target1' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=7760.5 Stop price=0 Quantity=4 Type='Limit' Time in force=GTC Oco='93393bfffe0040909907ed555e857257' Filled=0 Fill price=0 Error='No error' Native error='',
8/5/2026 11:13:57 PM,Order,Order='0418935ef69446dc811589066be0d8f5/Sim101' Name='Stop2' New state='Cancel submitted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7753.5 Quantity=4 Type='Stop Market' Time in force=GTC Oco='54fe3756b3674dd6af4e9795c7494e26' Filled=0 Fill price=0 Error='No error' Native error='',
8/5/2026 11:13:57 PM,Order,Order='d9ba30ea523a4289a9a17a54c8593c69/Sim101' Name='Stop1' New state='Cancel submitted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7753.5 Quantity=4 Type='Stop Market' Time in force=GTC Oco='93393bfffe0040909907ed555e857257' Filled=0 Fill price=0 Error='No error' Native error='',
8/5/2026 11:13:57 PM,Order,Order='b9b105615ceb416190c6342d884eae9b/Sim101' Name='Target2' New state='Cancel submitted' Instrument='MES SEP26' Action='Sell' Limit price=7761 Stop price=0 Quantity=4 Type='Limit' Time in force=GTC Oco='54fe3756b3674dd6af4e9795c7494e26' Filled=0 Fill price=0 Error='No error' Native error='',
8/5/2026 11:13:57 PM,Order,Order='f9b316c38ab74d5d97a0b4597c268d2d/Sim101' Name='Target1' New state='Cancel submitted' Instrument='MES SEP26' Action='Sell' Limit price=7760.5 Stop price=0 Quantity=4 Type='Limit' Time in force=GTC Oco='93393bfffe0040909907ed555e857257' Filled=0 Fill price=0 Error='No error' Native error='',
