Instrument,Action,Quantity,Price,Time,E/X,Position,Name,Account display name,
MES SEP26,Sell,13,7514.00,7/20/2026 9:18:58 PM,Exit,-,Close,Sim102,
MES SEP26,Buy,13,7514.50,7/20/2026 9:18:49 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Sell,3,7514.00,7/20/2026 9:18:45 PM,Exit,-,Close,Sim102,
MES SEP26,Sell,10,7514.25,7/20/2026 9:18:45 PM,Exit,3 L,Close,Sim102,
MES SEP26,Buy,13,7514.25,7/20/2026 9:18:10 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Sell,13,7514.00,7/20/2026 9:17:35 PM,Exit,-,Close,Sim102,
MES SEP26,Buy,13,7514.50,7/20/2026 9:16:24 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,13,7514.50,7/20/2026 9:14:13 PM,Entry,13 S,Entry,Sim101,
MES SEP26,Buy,1,7515.00,7/20/2026 9:14:12 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Buy,12,7514.75,7/20/2026 9:14:12 PM,Entry,12 L,Entry,Sim102,
