Instrument,Action,Quantity,Price,Time,E/X,Position,Name,Account display name,
MES SEP26,Sell,2,7500.75,7/26/2026 7:46:45 PM,Exit,-,PTT-BE-Stop,Sim101,
MES SEP26,Sell,11,7501.00,7/26/2026 7:46:45 PM,Exit,2 L,PTT-BE-Stop,Sim101,
MES SEP26,Buy,13,7501.25,7/26/2026 7:45:45 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Sell,13,7501.25,7/26/2026 7:45:09 PM,Exit,-,PTT-BE-Stop,Sim101,
MES SEP26,Buy,13,7501.25,7/26/2026 7:45:02 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Sell,13,7496.75,7/26/2026 7:33:58 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,13,7497.50,7/26/2026 7:32:13 PM,Exit,-,PTT-BE-Stop,Sim102,
MES SEP26,Sell,13,7497.75,7/26/2026 7:31:34 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Buy,13,7498.00,7/26/2026 7:31:32 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Buy,6,7501.25,7/26/2026 7:28:14 PM,Exit,-,PTT-BE-Stop,Sim102,
MES SEP26,Buy,20,7501.00,7/26/2026 7:28:14 PM,Exit,6 S,PTT-BE-Stop,Sim102,
MES SEP26,Sell,13,7501.50,7/26/2026 7:26:27 PM,Entry,26 S,PTT-BE-Stop,Sim102,
MES SEP26,Sell,13,7501.50,7/26/2026 7:26:27 PM,Exit,-,PTT-BE-Stop,Sim101,
MES SEP26,Sell,13,7501.25,7/26/2026 7:25:53 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Buy,13,7501.50,7/26/2026 7:25:52 PM,Entry,13 L,Entry,Sim101,
