Time,Category,Message,
7/28/2026 12:17:32 AM,Order,Order='653f298c3fcd40908f34eb151509224b/Sim102' Name='PTT-BE-Stop-1' New state='Accepted' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7437.5 Quantity=6 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-0' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:32 AM,Order,Order='5a7c232cf0764504b72a9f9f9ec9b18b/Sim102' Name='Target2' New state='Cancelled' Instrument='MES SEP26' Action='Buy to cover' Limit price=7434.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='7cebd081196546c78ba5bf91665258c4' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:32 AM,Order,Order='70c4956937774d688896da07f18ecbdd/Sim102' Name='Target1' New state='Cancelled' Instrument='MES SEP26' Action='Buy to cover' Limit price=7435 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='ae68e9f915a34b0bada5f7a586ca1afb' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:32 AM,Order,Order='8baa485e5a864955b1a061578e6a42bd/Sim102' Name='PTT-BE-Target-2' New state='Submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=7434.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:32 AM,Order,Order='04f82964f2c245c297eaace5d5b96421/Sim102' Name='PTT-BE-Stop-2' New state='Submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7437.5 Quantity=7 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:32 AM,Order,Order='9e48caf94e1942a59a176896458b36b4/Sim102' Name='PTT-BE-Target-1' New state='Submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=7435 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-0' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:32 AM,Order,Order='653f298c3fcd40908f34eb151509224b/Sim102' Name='PTT-BE-Stop-1' New state='Submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7437.5 Quantity=6 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-0' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:32 AM,Order,Order='c5f03c759c6244d4896e9c71323299d9/Sim102' Name='Stop2' New state='Cancel submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7443.5 Quantity=7 Type='Stop Market' Time in force=GTC Oco='7cebd081196546c78ba5bf91665258c4' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:32 AM,Order,Order='e3160854358f490ab92049d613e8b28d/Sim102' Name='Stop1' New state='Cancel submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7443.5 Quantity=6 Type='Stop Market' Time in force=GTC Oco='ae68e9f915a34b0bada5f7a586ca1afb' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:32 AM,Order,Order='5a7c232cf0764504b72a9f9f9ec9b18b/Sim102' Name='Target2' New state='Cancel submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=7434.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='7cebd081196546c78ba5bf91665258c4' Filled=0 Fill price=0 Error='No error' Native error='',
