NinjaScript File,Error,Code,Line,Column,
PttQuickExit.cs,'CopyEngine' does not contain a definition for 'CancelQxBrackets' and no accessible extension method 'CancelQxBrackets' accepting a first argument of type 'CopyEngine' could be found (are you missing a using directive or an assembly reference?),CS1061,52,33,
PttQuickExit.cs,'CopyEngine' does not contain a definition for 'NextQxOcoId' and no accessible extension method 'NextQxOcoId' accepting a first argument of type 'CopyEngine' could be found (are you missing a using directive or an assembly reference?),CS1061,55,48,
PttQuickExit.cs,'CopyEngine' does not contain a definition for 'NextQxOcoId' and no accessible extension method 'NextQxOcoId' accepting a first argument of type 'CopyEngine' could be found (are you missing a using directive or an assembly reference?),CS1061,86,49,
PttGlobalQuickExit.cs,'CopyEngine' does not contain a definition for 'IsFollowerAccount' and no accessible extension method 'IsFollowerAccount' accepting a first argument of type 'CopyEngine' could be found (are you missing a using directive or an assembly reference?),CS1061,31,46,
PttGlobalQuickExit.cs,'CopyEngine' does not contain a definition for 'GetQuickTicksForInstrument' and no accessible extension method 'GetQuickTicksForInstrument' accepting a first argument of type 'CopyEngine' could be found (are you missing a using directive or an assembly reference?),CS1061,49,27,
TradeCopierWindow.cs,'IEnumerable<string>' does not contain a definition for 'ToList' and no accessible extension method 'ToList' accepting a first argument of type 'IEnumerable<string>' could be found (are you missing a using directive or an assembly reference?),CS1061,130,72,
PttBreakEven.cs,'CopyEngine' does not contain a definition for 'IsFollowerAccount' and no accessible extension method 'IsFollowerAccount' accepting a first argument of type 'CopyEngine' could be found (are you missing a using directive or an assembly reference?),CS1061,74,72,
PttGlobalBreakEven.cs,'CopyEngine' does not contain a definition for 'SubmitBeStop' and no accessible extension method 'SubmitBeStop' accepting a first argument of type 'CopyEngine' could be found (are you missing a using directive or an assembly reference?),CS1061,32,63,
PttGlobalBreakEven.cs,'CopyEngine' does not contain a definition for 'ArmAllPendingBe' and no accessible extension method 'ArmAllPendingBe' accepting a first argument of type 'CopyEngine' could be found (are you missing a using directive or an assembly reference?),CS1061,45,33,
