Instrument,Action,Quantity,Price,Time,E/X,Position,Name,Account display name,
MES SEP26,Sell,8,7763.25,8/5/2026 10:11:59 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,8,7764.00,8/5/2026 10:11:04 PM,Entry,8 L,Entry,Sim101,
MES SEP26,Sell,8,7763.75,8/5/2026 10:10:33 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,8,7765.50,8/5/2026 10:08:53 PM,Entry,8 L,Entry,Sim101,
MES SEP26,Sell,2,7762.25,8/5/2026 9:57:57 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,6,7762.50,8/5/2026 9:57:57 PM,Exit,2 L,Close,Sim101,
MES SEP26,Buy,1,7762.75,8/5/2026 9:57:20 PM,Entry,8 L,Entry,Sim101,
MES SEP26,Buy,2,7762.75,8/5/2026 9:57:20 PM,Entry,7 L,Entry,Sim101,
MES SEP26,Buy,1,7762.75,8/5/2026 9:57:18 PM,Entry,5 L,Entry,Sim101,
MES SEP26,Buy,1,7762.75,8/5/2026 9:57:18 PM,Entry,4 L,Entry,Sim101,
MES SEP26,Buy,1,7762.75,8/5/2026 9:57:18 PM,Entry,3 L,Entry,Sim101,
MES SEP26,Buy,2,7762.75,8/5/2026 9:57:18 PM,Entry,2 L,Entry,Sim101,
MES SEP26,Sell,8,7762.50,8/5/2026 9:55:24 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,3,7762.25,8/5/2026 9:54:30 PM,Entry,8 L,Entry,Sim101,
MES SEP26,Buy,5,7762.00,8/5/2026 9:54:30 PM,Entry,5 L,Entry,Sim101,
MES SEP26,Sell,8,7761.50,8/5/2026 9:54:06 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,8,7762.25,8/5/2026 9:54:02 PM,Entry,8 L,Entry,Sim101,
MES SEP26,Sell,8,7761.75,8/5/2026 8:40:46 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,1,7762.25,8/5/2026 8:40:42 PM,Entry,8 L,Entry,Sim101,
MES SEP26,Buy,7,7762.00,8/5/2026 8:40:42 PM,Entry,7 L,Entry,Sim101,
MES SEP26,Sell,8,7762.25,8/5/2026 8:38:27 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,8,7762.75,8/5/2026 8:38:11 PM,Entry,8 L,Entry,Sim101,
MES SEP26,Sell,8,7760.25,8/5/2026 8:27:56 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,8,7761.00,8/5/2026 8:27:39 PM,Entry,8 L,Entry,Sim101,
MES SEP26,Sell,8,7761.00,8/5/2026 8:26:36 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,8,7761.50,8/5/2026 8:26:25 PM,Entry,8 L,Entry,Sim101,
MES SEP26,Sell,8,7761.00,8/5/2026 8:26:14 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,8,7761.75,8/5/2026 8:25:18 PM,Entry,8 L,Entry,Sim101,
MES SEP26,Sell,10,7761.50,8/5/2026 8:25:03 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,10,7762.75,8/5/2026 8:23:38 PM,Entry,10 L,Entry,Sim101,
MES SEP26,Sell,8,7752.50,8/5/2026 6:43:18 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,8,7752.75,8/5/2026 6:42:50 PM,Entry,8 L,Entry,Sim101,
MES SEP26,Sell,8,7752.75,8/5/2026 6:39:47 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,8,7752.50,8/5/2026 6:38:51 PM,Entry,8 L,Entry,Sim101,
MES SEP26,Sell,8,7752.00,8/5/2026 6:38:24 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,8,7753.50,8/5/2026 6:37:46 PM,Entry,8 L,Entry,Sim101,
MES SEP26,Sell,4,7753.25,8/5/2026 6:37:43 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,4,7753.50,8/5/2026 6:37:03 PM,Exit,4 L,Target1,Sim101,
MES SEP26,Buy,8,7751.50,8/5/2026 6:36:02 PM,Entry,8 L,Entry,Sim101,
MES SEP26,Sell,1,7759.00,8/5/2026 1:53:28 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,1,7759.75,8/5/2026 1:49:54 PM,Entry,1 L,PTT-ARCH-BRACKET-03-TEST,Sim101,
