Instrument,Action,Quantity,Price,Time,E/X,Position,Name,Account display name,
MES SEP26,Buy,6,7501.25,7/26/2026 7:28:14 PM,Exit,-,PTT-BE-Stop,Sim102,
MES SEP26,Buy,20,7501.00,7/26/2026 7:28:14 PM,Exit,6 S,PTT-BE-Stop,Sim102,
MES SEP26,Sell,13,7501.50,7/26/2026 7:26:27 PM,Entry,26 S,PTT-BE-Stop,Sim102,
MES SEP26,Sell,13,7501.50,7/26/2026 7:26:27 PM,Exit,-,PTT-BE-Stop,Sim101,
MES SEP26,Sell,13,7501.25,7/26/2026 7:25:53 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Buy,13,7501.50,7/26/2026 7:25:52 PM,Entry,13 L,Entry,Sim101,
