Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
102,MES SEP26,PA-APEX-422136-09!Apex!Apex,MES MIN SL4,Short,11,7518.50,7519.00,7/21/2026 7:00:16 AM,7/21/2026 7:01:05 AM,Entry,Close,($27.50),($1924.00),$0.00,$0.00,$0.00,$0.00,$0.00,$178.75,$13.75,$41.25,0,
103,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL4,Short,9,7518.50,7519.00,7/21/2026 7:00:16 AM,7/21/2026 7:01:05 AM,Entry,Close,($22.50),($1946.50),$0.00,$0.00,$0.00,$0.00,$0.00,$146.25,$11.25,$33.75,0,
104,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL4,Short,8,7518.50,7519.00,7/21/2026 7:00:16 AM,7/21/2026 7:01:05 AM,Entry,Close,($20.00),($1966.50),$0.00,$0.00,$0.00,$0.00,$0.00,$130.00,$10.00,$30.00,0,
105,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL4,Short,3,7518.50,7519.25,7/21/2026 7:00:16 AM,7/21/2026 7:01:05 AM,Entry,Close,($11.25),($1977.75),$0.00,$0.00,$0.00,$0.00,$0.00,$48.75,$3.75,$15.00,0,
106,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL5,Short,3,7524.00,7522.75,7/21/2026 7:18:55 AM,7/21/2026 7:19:00 AM,Entry,Close,$18.75,($1959.00),$0.00,$0.00,$0.00,$0.00,$0.00,$15.00,$18.75,$0.00,0,
107,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL5,Short,3,7524.00,7522.75,7/21/2026 7:18:55 AM,7/21/2026 7:19:00 AM,Entry,Close,$18.75,($1940.25),$0.00,$0.00,$0.00,$0.00,$0.00,$15.00,$18.75,$0.00,0,
108,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL5,Short,2,7524.00,7522.75,7/21/2026 7:18:55 AM,7/21/2026 7:19:00 AM,Entry,Close,$12.50,($1927.75),$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,$12.50,$0.00,0,
109,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL5,Short,2,7524.00,7522.75,7/21/2026 7:18:55 AM,7/21/2026 7:19:00 AM,Entry,Close,$12.50,($1915.25),$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,$12.50,$0.00,0,
110,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL5,Short,1,7524.00,7522.75,7/21/2026 7:18:55 AM,7/21/2026 7:19:00 AM,Entry,Close,$6.25,($1909.00),$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$6.25,$0.00,0,
111,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL5,Short,1,7524.00,7522.75,7/21/2026 7:18:55 AM,7/21/2026 7:19:00 AM,Entry,Close,$6.25,($1902.75),$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$6.25,$0.00,0,
112,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL5,Short,2,7524.00,7522.75,7/21/2026 7:18:55 AM,7/21/2026 7:19:00 AM,Entry,Close,$12.50,($1890.25),$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,$12.50,$0.00,0,
113,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL5,Short,2,7524.00,7522.75,7/21/2026 7:18:55 AM,7/21/2026 7:19:00 AM,Entry,Close,$12.50,($1877.75),$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,$12.50,$0.00,0,
114,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL6,Short,7,7531.00,7530.75,7/21/2026 7:27:55 AM,7/21/2026 7:29:15 AM,Entry,Stop2,$8.75,($1869.00),$0.00,$0.00,$0.00,$0.00,$0.00,$78.75,$78.75,$70.00,0,
115,MES SEP26,PA-APEX-422136-01!Apex!Apex,MES MIN SL6,Short,1,7531.00,7530.75,7/21/2026 7:27:55 AM,7/21/2026 7:29:15 AM,Entry,Stop2,$1.25,($1867.75),$0.00,$0.00,$0.00,$0.00,$0.00,$11.25,$11.25,$10.00,0,
116,MES SEP26,PA-APEX-422136-01!Apex!Apex,MES MIN SL6,Short,6,7531.00,7530.75,7/21/2026 7:27:55 AM,7/21/2026 7:29:15 AM,Entry,Stop2,$7.50,($1860.25),$0.00,$0.00,$0.00,$0.00,$0.00,$67.50,$67.50,$60.00,0,
117,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL6,Short,6,7531.00,7530.50,7/21/2026 7:27:55 AM,7/21/2026 7:29:20 AM,Entry,Close,$15.00,($1845.25),$0.00,$0.00,$0.00,$0.00,$0.00,$67.50,$67.50,$52.50,0,
118,MES SEP26,PA-APEX-422136-01!Apex!Apex,MES MIN SL6,Short,6,7531.00,7530.50,7/21/2026 7:27:55 AM,7/21/2026 7:29:20 AM,Entry,Close,$15.00,($1830.25),$0.00,$0.00,$0.00,$0.00,$0.00,$67.50,$67.50,$52.50,0,
119,MGC AUG26,PA-APEX-422136-06!Apex!Apex,MGC MIN SL5,Short,1,4161.0,4159.0,7/22/2026 6:59:31 AM,7/22/2026 7:00:01 AM,Entry,Target1,$20.00,($1810.25),$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,$20.00,$0.00,0,
120,MGC AUG26,PA-APEX-422136-06!Apex!Apex,MGC MIN SL5,Short,3,4161.0,4159.0,7/22/2026 6:59:31 AM,7/22/2026 7:00:01 AM,Entry,Target1,$60.00,($1750.25),$0.00,$0.00,$0.00,$0.00,$0.00,$57.00,$66.00,$6.00,0,
121,MGC AUG26,PA-APEX-422136-06!Apex!Apex,MGC MIN SL5,Short,1,4161.0,4158.8,7/22/2026 6:59:31 AM,7/22/2026 7:00:01 AM,Entry,Target2,$22.00,($1728.25),$0.00,$0.00,$0.00,$0.00,$0.00,$19.00,$22.00,$0.00,0,
122,MGC AUG26,PA-APEX-422136-06!Apex!Apex,MGC MIN SL5,Short,1,4161.0,4158.8,7/22/2026 6:59:31 AM,7/22/2026 7:00:01 AM,Entry,Target2,$22.00,($1706.25),$0.00,$0.00,$0.00,$0.00,$0.00,$3.00,$22.00,$0.00,0,
123,MGC AUG26,PA-APEX-422136-06!Apex!Apex,MGC MIN SL5,Short,1,4161.0,4158.8,7/22/2026 6:59:31 AM,7/22/2026 7:00:01 AM,Entry,Target2,$22.00,($1684.25),$0.00,$0.00,$0.00,$0.00,$0.00,$3.00,$22.00,$0.00,0,
124,MGC AUG26,PA-APEX-422136-06!Apex!Apex,MGC MIN SL5,Short,1,4161.0,4158.8,7/22/2026 6:59:31 AM,7/22/2026 7:00:01 AM,Entry,Target2,$22.00,($1662.25),$0.00,$0.00,$0.00,$0.00,$0.00,$3.00,$22.00,$0.00,0,
125,MES SEP26,PA-APEX-422136-04!Apex!Apex,MES MIN SL5,Long,4,7533.00,7534.00,7/22/2026 7:27:32 AM,7/22/2026 7:27:55 AM,Entry,Close,$20.00,($1642.25),$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$25.00,$5.00,0,
126,MES SEP26,PA-APEX-422136-04!Apex!Apex,MES MIN SL5,Long,1,7533.00,7534.00,7/22/2026 7:27:32 AM,7/22/2026 7:27:55 AM,Entry,Close,$5.00,($1637.25),$0.00,$0.00,$0.00,$0.00,$0.00,$1.25,$6.25,$1.25,0,
127,MES SEP26,PA-APEX-422136-04!Apex!Apex,MES MIN SL5,Long,2,7533.00,7534.00,7/22/2026 7:27:32 AM,7/22/2026 7:27:55 AM,Entry,Close,$10.00,($1627.25),$0.00,$0.00,$0.00,$0.00,$0.00,$2.50,$12.50,$2.50,0,
128,MES SEP26,PA-APEX-422136-04!Apex!Apex,MES MIN SL5,Long,1,7533.00,7534.00,7/22/2026 7:27:32 AM,7/22/2026 7:27:55 AM,Entry,Close,$5.00,($1622.25),$0.00,$0.00,$0.00,$0.00,$0.00,$1.25,$6.25,$1.25,0,
129,MES SEP26,PA-APEX-422136-04!Apex!Apex,MES MIN SL5,Long,1,7533.00,7533.75,7/22/2026 7:27:32 AM,7/22/2026 7:27:55 AM,Entry,Close,$3.75,($1618.50),$0.00,$0.00,$0.00,$0.00,$0.00,$1.25,$6.25,$2.50,0,
130,MES SEP26,PA-APEX-422136-04!Apex!Apex,MES MIN SL5,Long,4,7533.00,7533.75,7/22/2026 7:27:32 AM,7/22/2026 7:27:55 AM,Entry,Close,$15.00,($1603.50),$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$25.00,$10.00,0,
131,MES SEP26,PA-APEX-422136-04!Apex!Apex,MES MIN SL5,Long,1,7533.00,7533.75,7/22/2026 7:27:32 AM,7/22/2026 7:27:55 AM,Entry,Close,$3.75,($1599.75),$0.00,$0.00,$0.00,$0.00,$0.00,$1.25,$6.25,$2.50,0,
132,MES SEP26,PA-APEX-422136-04!Apex!Apex,MES MIN SL5,Long,2,7533.00,7533.75,7/22/2026 7:27:32 AM,7/22/2026 7:27:55 AM,Entry,Close,$7.50,($1592.25),$0.00,$0.00,$0.00,$0.00,$0.00,$2.50,$12.50,$5.00,0,
133,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL5,Short,8,7475.75,7473.75,7/23/2026 6:35:15 AM,7/23/2026 6:35:44 AM,Entry,Target1,$80.00,($1512.25),$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,$80.00,$0.00,0,
134,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL5,Short,8,7475.75,7473.75,7/23/2026 6:35:15 AM,7/23/2026 6:35:44 AM,Entry,Target1,$80.00,($1432.25),$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,$90.00,$10.00,0,
135,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL5,Short,8,7475.75,7475.25,7/23/2026 6:35:15 AM,7/23/2026 6:35:47 AM,Entry,Stop2,$20.00,($1412.25),$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,$90.00,$70.00,0,
136,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL5,Short,8,7475.75,7475.25,7/23/2026 6:35:15 AM,7/23/2026 6:35:47 AM,Entry,Stop2,$20.00,($1392.25),$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,$80.00,$60.00,0,
137,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL9,Short,2,7460.00,7459.75,7/23/2026 7:37:47 AM,7/23/2026 7:38:14 AM,Entry,Close,$2.50,($1389.75),$0.00,$0.00,$0.00,$0.00,$0.00,$35.00,$10.00,$7.50,0,
138,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL9,Short,6,7460.00,7459.75,7/23/2026 7:37:47 AM,7/23/2026 7:38:14 AM,Entry,Close,$7.50,($1382.25),$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$30.00,$22.50,0,
139,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL8,Short,1,7431.25,7428.50,7/23/2026 8:37:23 AM,7/23/2026 8:37:38 AM,Entry,Target1,$13.75,($1368.50),$0.00,$0.00,$0.00,$0.00,$0.00,$3.75,$16.25,$2.50,0,
140,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL8,Short,1,7431.25,7428.50,7/23/2026 8:37:23 AM,7/23/2026 8:37:38 AM,Entry,Target1,$13.75,($1354.75),$0.00,$0.00,$0.00,$0.00,$0.00,$3.75,$16.25,$2.50,0,
141,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL8,Short,2,7431.25,7428.50,7/23/2026 8:37:23 AM,7/23/2026 8:37:38 AM,Entry,Target1,$27.50,($1327.25),$0.00,$0.00,$0.00,$0.00,$0.00,$7.50,$32.50,$5.00,0,
142,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL8,Short,2,7431.25,7428.50,7/23/2026 8:37:23 AM,7/23/2026 8:37:38 AM,Entry,Target1,$27.50,($1299.75),$0.00,$0.00,$0.00,$0.00,$0.00,$7.50,$32.50,$5.00,0,
143,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL8,Short,2,7431.25,7428.50,7/23/2026 8:37:23 AM,7/23/2026 8:37:38 AM,Entry,Target1,$27.50,($1272.25),$0.00,$0.00,$0.00,$0.00,$0.00,$7.50,$32.50,$5.00,0,
144,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL8,Short,2,7431.25,7428.50,7/23/2026 8:37:23 AM,7/23/2026 8:37:38 AM,Entry,Target1,$27.50,($1244.75),$0.00,$0.00,$0.00,$0.00,$0.00,$7.50,$32.50,$5.00,0,
145,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL8,Short,1,7431.25,7430.00,7/23/2026 8:37:23 AM,7/23/2026 8:37:53 AM,Entry,Close,$6.25,($1238.50),$0.00,$0.00,$0.00,$0.00,$0.00,$3.75,$16.25,$10.00,0,
146,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL8,Short,3,7431.25,7430.00,7/23/2026 8:37:23 AM,7/23/2026 8:37:53 AM,Entry,Close,$18.75,($1219.75),$0.00,$0.00,$0.00,$0.00,$0.00,$11.25,$48.75,$30.00,0,
147,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL8,Short,1,7435.75,7433.00,7/23/2026 8:40:10 AM,7/23/2026 8:41:00 AM,Entry,Target1,$13.75,($1206.00),$0.00,$0.00,$0.00,$0.00,$0.00,$6.25,$20.00,$6.25,0,
148,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL8,Short,2,7435.75,7433.00,7/23/2026 8:40:10 AM,7/23/2026 8:41:00 AM,Entry,Target1,$27.50,($1178.50),$0.00,$0.00,$0.00,$0.00,$0.00,$12.50,$40.00,$12.50,0,
149,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL8,Short,2,7435.75,7433.00,7/23/2026 8:40:10 AM,7/23/2026 8:41:00 AM,Entry,Target1,$27.50,($1151.00),$0.00,$0.00,$0.00,$0.00,$0.00,$12.50,$40.00,$12.50,0,
150,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL8,Short,2,7435.75,7433.00,7/23/2026 8:40:10 AM,7/23/2026 8:41:00 AM,Entry,Target1,$27.50,($1123.50),$0.00,$0.00,$0.00,$0.00,$0.00,$12.50,$40.00,$12.50,0,
151,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL8,Short,1,7435.75,7433.00,7/23/2026 8:40:10 AM,7/23/2026 8:41:00 AM,Entry,Target1,$13.75,($1109.75),$0.00,$0.00,$0.00,$0.00,$0.00,$6.25,$20.00,$6.25,0,
152,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL8,Short,1,7435.75,7433.00,7/23/2026 8:40:10 AM,7/23/2026 8:41:00 AM,Entry,Target1,$13.75,($1096.00),$0.00,$0.00,$0.00,$0.00,$0.00,$6.25,$20.00,$6.25,0,
153,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL8,Short,1,7435.75,7433.00,7/23/2026 8:40:10 AM,7/23/2026 8:41:00 AM,Entry,Target1,$13.75,($1082.25),$0.00,$0.00,$0.00,$0.00,$0.00,$6.25,$20.00,$6.25,0,
154,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL8,Short,2,7435.75,7431.75,7/23/2026 8:40:10 AM,7/23/2026 8:41:04 AM,Entry,Target2,$40.00,($1042.25),$0.00,$0.00,$0.00,$0.00,$0.00,$12.50,$40.00,$0.00,0,
155,MES SEP26,PA-APEX-422136-08!Apex!Apex,MES MIN SL8,Short,1,7435.75,7431.75,7/23/2026 8:40:10 AM,7/23/2026 8:41:04 AM,Entry,Target2,$20.00,($1022.25),$0.00,$0.00,$0.00,$0.00,$0.00,$6.25,$20.00,$0.00,0,
156,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL8,Short,2,7435.75,7431.75,7/23/2026 8:40:10 AM,7/23/2026 8:41:04 AM,Entry,Target2,$40.00,($982.25),$0.00,$0.00,$0.00,$0.00,$0.00,$12.50,$40.00,$0.00,0,
157,MES SEP26,PA-APEX-422136-07!Apex!Apex,MES MIN SL8,Short,1,7435.75,7431.75,7/23/2026 8:40:10 AM,7/23/2026 8:41:04 AM,Entry,Target2,$20.00,($962.25),$0.00,$0.00,$0.00,$0.00,$0.00,$6.25,$20.00,$0.00,0,
158,MES SEP26,Sim102,MES MIN SL6,Long,6,7436.50,7439.00,7/23/2026 12:24:51 PM,7/23/2026 12:25:17 PM,Entry,Target1,$75.00,($887.25),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$90.00,$15.00,0,
159,MES SEP26,Sim102,MES MIN SL6,Long,7,7436.50,7439.50,7/23/2026 12:24:51 PM,7/23/2026 12:25:17 PM,Entry,Target2,$105.00,($782.25),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.00,$0.00,0,
160,MES SEP26,Sim102,MES MIN SL6,Long,13,7439.25,7438.50,7/23/2026 12:25:50 PM,7/23/2026 12:27:00 PM,Entry,Close,($48.75),($831.00),$0.00,$0.00,$0.00,$0.00,$0.00,$81.25,$32.50,$81.25,0,
161,MES SEP26,Sim101,MES MIN SL6,Short,10,7447.50,7447.25,7/23/2026 3:06:17 PM,7/23/2026 3:06:36 PM,Entry,PTT-BE-Stop,$12.50,($818.50),$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,$50.00,$37.50,0,
162,MES SEP26,Sim101,MES MIN SL6,Short,3,7447.25,7447.50,7/23/2026 3:06:17 PM,7/23/2026 3:06:37 PM,Entry,PTT-BE-Stop,($3.75),($822.25),$0.00,$0.00,$0.00,$0.00,$0.00,$11.25,$11.25,$15.00,0,
163,MES SEP26,Sim102,MES MIN SL6,Long,7,7447.75,7447.00,7/23/2026 3:06:17 PM,7/23/2026 3:07:39 PM,Entry,Close,($26.25),($848.50),$0.00,$0.00,$0.00,$0.00,$0.00,$43.75,$8.75,$35.00,0,
164,MES SEP26,Sim102,MES MIN SL6,Long,6,7447.75,7446.75,7/23/2026 3:06:17 PM,7/23/2026 3:07:39 PM,Entry,Close,($30.00),($878.50),$0.00,$0.00,$0.00,$0.00,$0.00,$37.50,$7.50,$37.50,0,
165,MES SEP26,Sim101,MES MIN SL6,Short,11,7447.00,7446.75,7/23/2026 3:07:43 PM,7/23/2026 3:08:31 PM,Entry,PTT-BE-Stop,$13.75,($864.75),$0.00,$0.00,$0.00,$0.00,$0.00,$27.50,$68.75,$55.00,0,
166,MES SEP26,Sim101,MES MIN SL6,Short,2,7446.75,7446.75,7/23/2026 3:07:43 PM,7/23/2026 3:08:31 PM,Entry,PTT-BE-Stop,$0.00,($864.75),$0.00,$0.00,$0.00,$0.00,$0.00,$7.50,$10.00,$10.00,0,
167,MES SEP26,Sim102,MES MIN SL6,Long,7,7447.25,7446.25,7/23/2026 3:07:42 PM,7/23/2026 3:08:49 PM,Entry,Close,($35.00),($899.75),$0.00,$0.00,$0.00,$0.00,$0.00,$52.50,$8.75,$43.75,0,
168,MES SEP26,Sim102,MES MIN SL6,Long,5,7447.50,7446.25,7/23/2026 3:07:42 PM,7/23/2026 3:08:49 PM,Entry,Close,($31.25),($931.00),$0.00,$0.00,$0.00,$0.00,$0.00,$43.75,$0.00,$31.25,0,
169,MES SEP26,Sim102,MES MIN SL6,Long,1,7447.50,7446.00,7/23/2026 3:07:42 PM,7/23/2026 3:08:49 PM,Entry,Close,($7.50),($938.50),$0.00,$0.00,$0.00,$0.00,$0.00,$8.75,$0.00,$7.50,0,
170,MES SEP26,Sim102,MES MIN SL6,Long,13,7446.75,7446.75,7/23/2026 3:08:51 PM,7/23/2026 3:09:16 PM,Entry,PTT-BE-Stop,$0.00,($938.50),$0.00,$0.00,$0.00,$0.00,$0.00,$65.00,$16.25,$16.25,0,
171,MES SEP26,Sim101,MES MIN SL6,Short,1,7446.25,7446.25,7/23/2026 3:08:52 PM,7/23/2026 3:09:25 PM,Entry,Close,$0.00,($938.50),$0.00,$0.00,$0.00,$0.00,$0.00,$3.75,$2.50,$2.50,0,
172,MES SEP26,Sim101,MES MIN SL6,Short,9,7446.25,7446.50,7/23/2026 3:08:52 PM,7/23/2026 3:09:25 PM,Entry,Close,($11.25),($949.75),$0.00,$0.00,$0.00,$0.00,$0.00,$33.75,$22.50,$33.75,0,
173,MES SEP26,Sim101,MES MIN SL6,Short,3,7446.00,7446.50,7/23/2026 3:08:52 PM,7/23/2026 3:09:25 PM,Entry,Close,($7.50),($957.25),$0.00,$0.00,$0.00,$0.00,$0.00,$15.00,$3.75,$11.25,0,
