Time,Category,Message,
7/23/2026 12:27:01 PM,Position,Instrument='MES SEP26' Account='Sim102' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/23/2026 12:27:00 PM,Execution,Execution='7e8d08a6a7b542aaa400afb9afd4dbe7' Instrument='MES SEP26' Account='Sim102' Exchange=Default Price=7438.5 Quantity=13 Market position=Short Operation=Operation_Add Order='79e5a750890242aabb58cee5bf76a477' Time='7/23/2026 12:27 PM',
7/23/2026 12:27:00 PM,Order,Order='79e5a750890242aabb58cee5bf76a477/Sim102' Name='Close' New state='Filled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=13 Type='Market' Time in force=DAY Oco='' Filled=13 Fill price=7438.5 Error='No error' Native error='',
7/23/2026 12:27:00 PM,Order,Order='79e5a750890242aabb58cee5bf76a477/Sim102' Name='Close' New state='Working' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=13 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/23/2026 12:27:00 PM,Order,Order='79e5a750890242aabb58cee5bf76a477/Sim102' Name='Close' New state='Accepted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=13 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/23/2026 12:27:00 PM,Order,Order='79e5a750890242aabb58cee5bf76a477/Sim102' Name='Close' New state='Submitted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=13 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/23/2026 12:27:00 PM,Order,Order='1d982b88aeb940d5b2c91a67a187031b/Sim102' Name='Stop2' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7433.25 Quantity=7 Type='Stop Market' Time in force=GTC Oco='e4359db825ba4fbc9c2551f5657f266c' Filled=0 Fill price=0 Error='No error' Native error='',
7/23/2026 12:27:00 PM,Order,Order='c396d14459eb41f5a47f99fe503464b6/Sim102' Name='Stop1' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7433.25 Quantity=6 Type='Stop Market' Time in force=GTC Oco='117894769158407c8b9e0cef2be96234' Filled=0 Fill price=0 Error='No error' Native error='',
7/23/2026 12:27:00 PM,Order,Order='439c0f969e5046488f689b00c30530e3/Sim102' Name='Target2' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=7442.25 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='e4359db825ba4fbc9c2551f5657f266c' Filled=0 Fill price=0 Error='No error' Native error='',
7/23/2026 12:27:00 PM,Order,Order='3f841c9c936944f489ff0d5b286ae7e0/Sim102' Name='Target1' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=7441.75 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='117894769158407c8b9e0cef2be96234' Filled=0 Fill price=0 Error='No error' Native error='',
7/23/2026 12:27:00 PM,Order,Order='1d982b88aeb940d5b2c91a67a187031b/Sim102' Name='Stop2' New state='Cancel submitted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7433.25 Quantity=7 Type='Stop Market' Time in force=GTC Oco='e4359db825ba4fbc9c2551f5657f266c' Filled=0 Fill price=0 Error='No error' Native error='',
