Instrument,Action,Quantity,Price,Time,E/X,Position,Name,Account display name,
MES SEP26,Sell,3,7770.75,8/9/2026 5:55:21 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,13,7771.00,8/9/2026 5:55:21 PM,Exit,3 L,Close,Sim101,
MES SEP26,Buy,16,7771.00,8/9/2026 5:55:06 PM,Entry,16 L,Entry,Sim101,
MES SEP26,Sell,4,7772.00,8/9/2026 5:35:03 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,12,7772.25,8/9/2026 5:35:03 PM,Exit,4 L,Close,Sim101,
MES SEP26,Buy,11,7772.50,8/9/2026 5:34:43 PM,Entry,16 L,Entry,Sim101,
MES SEP26,Buy,1,7772.50,8/9/2026 5:34:43 PM,Entry,5 L,Entry,Sim101,
MES SEP26,Buy,1,7772.50,8/9/2026 5:34:43 PM,Entry,4 L,Entry,Sim101,
MES SEP26,Buy,1,7772.50,8/9/2026 5:34:42 PM,Entry,3 L,Entry,Sim101,
MES SEP26,Buy,1,7772.25,8/9/2026 5:34:41 PM,Entry,2 L,Entry,Sim101,
MES SEP26,Buy,1,7772.25,8/9/2026 5:34:41 PM,Entry,1 L,Entry,Sim101,
MES SEP26,Sell,16,7772.50,8/9/2026 5:24:30 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,16,7774.00,8/9/2026 5:23:10 PM,Entry,16 L,Entry,Sim101,
MES SEP26,Sell,9,7775.25,8/9/2026 5:18:48 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,7,7775.50,8/9/2026 5:18:48 PM,Exit,9 L,Close,Sim101,
MES SEP26,Buy,5,7775.50,8/9/2026 5:18:27 PM,Entry,16 L,Entry,Sim101,
MES SEP26,Buy,11,7775.25,8/9/2026 5:18:27 PM,Entry,11 L,Entry,Sim101,
MES SEP26,Sell,16,7777.25,8/9/2026 5:14:23 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,16,7777.25,8/9/2026 5:13:38 PM,Entry,16 L,Entry,Sim101,
MES SEP26,Sell,16,7776.75,8/9/2026 5:13:10 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,16,7777.50,8/9/2026 5:13:05 PM,Entry,16 L,Entry,Sim101,
