NinjaScript File,Error,Code,Line,Column,
PttQuickExit.cs,'Collection<Position>' does not contain a definition for 'FindByInstrument' and no accessible extension method 'FindByInstrument' accepting a first argument of type 'Collection<Position>' could be found (are you missing a using directive or an assembly reference?),CS1061,34,41,
PttQuickExit.cs,The name 'PrintTo' does not exist in the current context,CS0103,39,21,
PttQuickExit.cs,The name 'PrintTo' does not exist in the current context,CS0103,96,123,
PttQuickExit.cs,The name 'PrintTo' does not exist in the current context,CS0103,100,103,
PttQuickExit.cs,The name 'PrintTo' does not exist in the current context,CS0103,124,101,
PttQuickExit.cs,The name 'PrintTo' does not exist in the current context,CS0103,128,97,
PttQuickExit.cs,The name 'PrintTo' does not exist in the current context,CS0103,150,116,
PttQuickExit.cs,The name 'PrintTo' does not exist in the current context,CS0103,154,97,
