NinjaScript File,Error,Code,Line,Column,
B46Tests.cs,The type or namespace name 'Xunit' could not be found (are you missing a using directive or an assembly reference?),CS0246,9,7,
B46Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,18,10,
B46Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,18,10,
B46Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,36,10,
B46Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,36,10,
B46Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,54,10,
B46Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,54,10,
B46Tests.cs,The name 'Assert' does not exist in the current context,CS0103,30,13,
B46Tests.cs,The name 'Assert' does not exist in the current context,CS0103,46,13,
B46Tests.cs,The name 'Assert' does not exist in the current context,CS0103,47,13,
B46Tests.cs,The name 'Assert' does not exist in the current context,CS0103,61,25,
B46Tests.cs,The name 'Assert' does not exist in the current context,CS0103,62,13,
