NinjaScript File,Error,Code,Line,Column,
B44Tests.cs,The type or namespace name 'Xunit' could not be found (are you missing a using directive or an assembly reference?),CS0246,10,7,
B44Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,49,10,
B44Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,49,10,
B44Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,65,10,
B44Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,65,10,
B44Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,80,10,
B44Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,80,10,
B44Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,102,10,
B44Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,102,10,
B44Tests.cs,The name 'Assert' does not exist in the current context,CS0103,53,13,
B44Tests.cs,The name 'Assert' does not exist in the current context,CS0103,60,13,
B44Tests.cs,The name 'Assert' does not exist in the current context,CS0103,69,13,
B44Tests.cs,The name 'Assert' does not exist in the current context,CS0103,75,13,
B44Tests.cs,The name 'Assert' does not exist in the current context,CS0103,84,13,
B44Tests.cs,The name 'Assert' does not exist in the current context,CS0103,88,13,
B44Tests.cs,The name 'Assert' does not exist in the current context,CS0103,91,13,
B44Tests.cs,The name 'Assert' does not exist in the current context,CS0103,94,13,
B44Tests.cs,The name 'Assert' does not exist in the current context,CS0103,97,13,
B44Tests.cs,The name 'Assert' does not exist in the current context,CS0103,108,13,
