Instrument,Action,Quantity,Price,Time,E/X,Position,Name,Account display name,
MES SEP26,Buy,4,7511.25,7/23/2026 12:28:18 AM,Exit,-,Close,Sim102,
MES SEP26,Buy,9,7511.00,7/23/2026 12:28:18 AM,Exit,4 S,Close,Sim102,
MES SEP26,Sell,13,7511.50,7/23/2026 12:27:41 AM,Exit,-,PTT-BE-Stop,Sim101,
MES SEP26,Sell,13,7510.75,7/23/2026 12:26:00 AM,Entry,13 S,Entry,Sim102,
MES SEP26,Buy,7,7511.25,7/23/2026 12:25:59 AM,Entry,13 L,Entry,Sim101,
MES SEP26,Buy,6,7511.00,7/23/2026 12:25:59 AM,Entry,6 L,Entry,Sim101,
MES SEP26,Sell,3,7532.25,7/22/2026 10:35:32 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,10,7532.50,7/22/2026 10:35:32 PM,Exit,3 L,Close,Sim101,
MES SEP26,Buy,13,7533.25,7/22/2026 10:35:17 PM,Exit,-,PTT-BE-Stop,Sim102,
MES SEP26,Sell,13,7533.25,7/22/2026 10:34:37 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Buy,13,7533.50,7/22/2026 10:34:36 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Buy,13,7531.25,7/22/2026 10:28:06 PM,Exit,-,Close,Sim102,
MES SEP26,Sell,13,7531.50,7/22/2026 10:27:44 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,11,7529.00,7/22/2026 10:26:12 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Sell,2,7529.25,7/22/2026 10:26:12 PM,Entry,2 S,Entry,Sim102,
MES SEP26,Buy,4,7529.50,7/22/2026 10:26:10 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Buy,9,7529.25,7/22/2026 10:26:10 PM,Entry,9 L,Entry,Sim101,
MES SEP26,Sell,13,7524.00,7/22/2026 8:29:05 PM,Exit,-,Close,Sim102,
MES SEP26,Buy,13,7522.50,7/22/2026 8:27:34 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Sell,6,7522.00,7/22/2026 8:27:32 PM,Exit,-,Close,Sim102,
MES SEP26,Sell,7,7522.25,7/22/2026 8:27:32 PM,Exit,6 L,Close,Sim102,
MES SEP26,Buy,4,7523.50,7/22/2026 8:25:07 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Buy,9,7523.25,7/22/2026 8:25:07 PM,Entry,9 L,Entry,Sim102,
MES SEP26,Sell,13,7523.25,7/22/2026 8:25:06 PM,Exit,-,Close,Sim102,
MES SEP26,Buy,13,7524.25,7/22/2026 8:24:35 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Sell,13,7523.75,7/22/2026 8:24:29 PM,Exit,-,Close,Sim102,
MES SEP26,Buy,13,7523.75,7/22/2026 8:24:25 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Sell,3,7523.50,7/22/2026 8:24:23 PM,Exit,-,Close,Sim102,
MES SEP26,Sell,10,7523.75,7/22/2026 8:24:23 PM,Exit,3 L,Close,Sim102,
MES SEP26,Buy,13,7524.50,7/22/2026 8:23:45 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Sell,13,7524.25,7/22/2026 8:23:38 PM,Exit,-,Close,Sim102,
MES SEP26,Buy,13,7524.75,7/22/2026 8:23:36 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Buy,13,7524.25,7/22/2026 8:19:36 PM,Exit,-,Close,Sim102,
MES SEP26,Sell,13,7523.00,7/22/2026 8:19:13 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Sell,13,7523.00,7/22/2026 8:19:12 PM,Exit,-,Close,Sim102,
MES SEP26,Buy,1,7524.00,7/22/2026 8:19:00 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Buy,12,7523.75,7/22/2026 8:19:00 PM,Entry,12 L,Entry,Sim102,
MES SEP26,Sell,13,7523.50,7/22/2026 8:18:58 PM,Exit,-,Close,Sim102,
MES SEP26,Buy,11,7524.25,7/22/2026 8:18:49 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Buy,2,7524.00,7/22/2026 8:18:49 PM,Entry,2 L,Entry,Sim102,
