Instrument,Action,Quantity,Price,Time,E/X,Position,Name,Account display name,
MES SEP26,Buy,9,7511.50,7/27/2026 12:30:53 AM,Exit,-,Close,Sim102,
MES SEP26,Buy,4,7511.25,7/27/2026 12:30:53 AM,Exit,9 S,Close,Sim102,
MES SEP26,Sell,13,7510.75,7/27/2026 12:30:48 AM,Exit,-,Close,Sim101,
MES SEP26,Sell,13,7512.00,7/27/2026 12:30:31 AM,Entry,13 S,Entry,Sim102,
MES SEP26,Buy,2,7512.50,7/27/2026 12:30:30 AM,Entry,13 L,Entry,Sim101,
MES SEP26,Buy,11,7512.25,7/27/2026 12:30:30 AM,Entry,11 L,Entry,Sim101,
MES SEP26,Sell,13,7512.50,7/27/2026 12:30:06 AM,Exit,-,Close,Sim101,
MES SEP26,Buy,13,7512.75,7/27/2026 12:30:05 AM,Exit,-,Close,Sim102,
MES SEP26,Sell,13,7513.50,7/27/2026 12:26:31 AM,Entry,13 S,Entry,Sim102,
MES SEP26,Buy,13,7513.75,7/27/2026 12:26:30 AM,Entry,13 L,Entry,Sim101,
MES SEP26,Buy,13,7513.75,7/27/2026 12:26:26 AM,Exit,-,Close,Sim102,
MES SEP26,Sell,13,7513.50,7/27/2026 12:26:02 AM,Entry,13 S,Entry,Sim102,
MES SEP26,Sell,13,7513.50,7/27/2026 12:26:01 AM,Exit,-,Close,Sim101,
MES SEP26,Buy,13,7513.75,7/27/2026 12:25:58 AM,Exit,-,Close,Sim102,
MES SEP26,Sell,12,7515.00,7/27/2026 12:25:12 AM,Entry,13 S,Entry,Sim102,
MES SEP26,Sell,1,7515.25,7/27/2026 12:25:12 AM,Entry,1 S,Entry,Sim102,
MES SEP26,Buy,13,7515.50,7/27/2026 12:25:11 AM,Entry,13 L,Entry,Sim101,
MES SEP26,Buy,13,7513.50,7/27/2026 12:09:10 AM,Exit,-,Close,Sim102,
MES SEP26,Sell,13,7513.50,7/27/2026 12:08:12 AM,Exit,-,PTT-BE-Stop,Sim101,
MES SEP26,Buy,13,7513.75,7/27/2026 12:08:00 AM,Entry,13 L,Entry,Sim101,
MES SEP26,Sell,13,7513.75,7/27/2026 12:07:57 AM,Exit,-,Close,Sim101,
MES SEP26,Buy,13,7516.25,7/27/2026 12:06:51 AM,Entry,13 L,Entry,Sim101,
MES SEP26,Sell,5,7515.75,7/27/2026 12:06:50 AM,Entry,13 S,Entry,Sim102,
MES SEP26,Sell,8,7516.00,7/27/2026 12:06:50 AM,Entry,8 S,Entry,Sim102,
MES SEP26,Buy,13,7516.25,7/27/2026 12:06:47 AM,Exit,-,Close,Sim101,
MES SEP26,Sell,2,7515.75,7/27/2026 12:06:47 AM,Exit,-,Close,Sim102,
MES SEP26,Sell,11,7516.00,7/27/2026 12:06:46 AM,Exit,2 L,Close,Sim102,
MES SEP26,Sell,4,7515.25,7/27/2026 12:05:03 AM,Entry,13 S,Entry,Sim101,
MES SEP26,Sell,9,7515.50,7/27/2026 12:05:03 AM,Entry,9 S,Entry,Sim101,
MES SEP26,Buy,2,7516.50,7/27/2026 12:04:57 AM,Entry,13 L,Entry,Sim102,
MES SEP26,Buy,11,7516.25,7/27/2026 12:04:57 AM,Entry,11 L,Entry,Sim102,
MES SEP26,Sell,13,7512.00,7/26/2026 11:50:53 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,13,7512.50,7/26/2026 11:50:52 PM,Exit,-,Close,Sim102,
MES SEP26,Sell,13,7513.25,7/26/2026 11:47:25 PM,Entry,13 S,Entry,Sim102,
