Instrument,Action,Quantity,Price,Time,E/X,Position,Name,Account display name,
MES SEP26,Sell,1,7437.75,7/24/2026 12:08:36 PM,Exit,-,Close,PA-APEX-422136-08!Apex!Apex,
MES SEP26,Buy,1,7437.50,7/24/2026 12:07:51 PM,Entry,1 L,Entry,PA-APEX-422136-08!Apex!Apex,
MES SEP26,Sell,13,7441.75,7/24/2026 12:03:54 PM,Exit,-,PTT-BE-Stop,Sim102,
MES SEP26,Buy,13,7441.75,7/24/2026 12:03:50 PM,Exit,-,PTT-BE-Stop,Sim101,
MES SEP26,Sell,13,7441.75,7/24/2026 12:03:45 PM,Entry,13 S,Entry,Sim101,
MES SEP26,Buy,13,7441.75,7/24/2026 12:03:44 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Sell,3,7442.25,7/24/2026 12:03:36 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,10,7442.50,7/24/2026 12:03:36 PM,Exit,3 L,Close,Sim101,
MES SEP26,Buy,13,7442.50,7/24/2026 12:03:35 PM,Exit,-,Close,Sim102,
MES SEP26,Sell,13,7441.50,7/24/2026 12:03:28 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Buy,13,7442.00,7/24/2026 12:03:27 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Sell,2,7444.00,7/24/2026 7:17:57 AM,Exit,-,Close,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,9,7444.25,7/24/2026 7:17:57 AM,Exit,2 L,Close,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,11,7444.00,7/24/2026 7:17:57 AM,Exit,-,Close,PA-APEX-422136-08!Apex!Apex,
MES SEP26,Buy,11,7443.25,7/24/2026 7:17:32 AM,Entry,11 L,Entry,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Buy,8,7443.25,7/24/2026 7:17:32 AM,Entry,11 L,Entry,PA-APEX-422136-08!Apex!Apex,
MES SEP26,Buy,3,7443.25,7/24/2026 7:17:32 AM,Entry,3 L,Entry,PA-APEX-422136-08!Apex!Apex,
MES SEP26,Buy,13,7449.75,7/24/2026 7:12:39 AM,Exit,-,Close,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Buy,13,7449.75,7/24/2026 7:12:39 AM,Exit,-,Close,PA-APEX-422136-08!Apex!Apex,
MES SEP26,Sell,13,7449.75,7/24/2026 7:09:23 AM,Entry,13 S,Entry,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,13,7449.75,7/24/2026 7:09:23 AM,Entry,13 S,Entry,PA-APEX-422136-08!Apex!Apex,
MES SEP26,Buy,20,7454.00,7/24/2026 6:48:09 AM,Exit,-,Target1,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,1,7456.00,7/24/2026 6:48:08 AM,Entry,20 S,Entry,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,1,7456.00,7/24/2026 6:48:08 AM,Entry,19 S,Entry,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,1,7456.00,7/24/2026 6:48:08 AM,Entry,18 S,Entry,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,1,7456.00,7/24/2026 6:48:08 AM,Entry,17 S,Entry,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,1,7456.00,7/24/2026 6:48:08 AM,Entry,16 S,Entry,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,1,7456.00,7/24/2026 6:48:08 AM,Entry,15 S,Entry,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,5,7456.00,7/24/2026 6:48:08 AM,Entry,14 S,Entry,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,5,7456.00,7/24/2026 6:48:08 AM,Entry,9 S,Entry,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,1,7456.00,7/24/2026 6:48:08 AM,Entry,4 S,Entry,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,1,7456.00,7/24/2026 6:48:08 AM,Entry,3 S,Entry,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,1,7456.00,7/24/2026 6:48:08 AM,Entry,2 S,Entry,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Sell,1,7456.00,7/24/2026 6:48:08 AM,Entry,1 S,Entry,PA-APEX-422136-07!Apex!Apex,
MES SEP26,Buy,12,7446.50,7/23/2026 3:09:25 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,1,7446.25,7/23/2026 3:09:25 PM,Exit,12 S,Close,Sim101,
MES SEP26,Sell,3,7446.00,7/23/2026 3:08:52 PM,Entry,13 S,Entry,Sim101,
MES SEP26,Sell,10,7446.25,7/23/2026 3:08:52 PM,Entry,10 S,Entry,Sim101,
MES SEP26,Buy,13,7446.75,7/23/2026 3:08:31 PM,Exit,-,PTT-BE-Stop,Sim101,
MES SEP26,Sell,2,7446.75,7/23/2026 3:07:43 PM,Entry,13 S,Entry,Sim101,
MES SEP26,Sell,11,7447.00,7/23/2026 3:07:43 PM,Entry,11 S,Entry,Sim101,
MES SEP26,Buy,3,7447.50,7/23/2026 3:06:37 PM,Exit,-,PTT-BE-Stop,Sim101,
MES SEP26,Buy,10,7447.25,7/23/2026 3:06:36 PM,Exit,3 S,PTT-BE-Stop,Sim101,
MES SEP26,Sell,3,7447.25,7/23/2026 3:06:17 PM,Entry,13 S,Entry,Sim101,
MES SEP26,Sell,10,7447.50,7/23/2026 3:06:17 PM,Entry,10 S,Entry,Sim101,
