"Epic","File","Method","CYC","Phase0","Phase1","Special","Source"
"EPIC-CCN-055","V12_002.SIMA.Lifecycle.cs","DrainPhotonQueuesOnShutdown","11","True","False","","Wave6"
"EPIC-CCN-056","V12_002.SIMA.Lifecycle.cs","SweepBrokerOrders","12","True","False","","Wave6"
"EPIC-CCN-057","V12_002.SIMA.Lifecycle.cs","ShouldProtectBracketOrder","10","True","False","","Wave6"
"EPIC-CCN-058","V12_002.SIMA.Lifecycle.cs","HydrateFSM_MapOrderStateToFsmState","9","True","False","","Wave6"
"EPIC-CCN-059","V12_002.SIMA.Lifecycle.cs","AdoptMasterWorkingOrders","9","True","False","","Wave6"
"EPIC-CCN-060","V12_002.SIMA.Lifecycle.cs","SweepTrackedOrders","12","True","False","","Wave6"
"EPIC-CCN-061","V12_002.SIMA.Fleet.cs","SubmitAndRegisterFleetOrders","11","True","False","","Wave6"
"EPIC-CCN-062","V12_002.SIMA.Fleet.cs","ProcessFleetSlot","11","True","False","","Wave6"
"EPIC-CCN-063","V12_002.SIMA.Fleet.cs","DrainAllDispatchQueuesOnAbort","11","True","False","","Wave6"
"EPIC-CCN-064","V12_002.Symmetry.BracketFSM.cs","ResolveFsm_ByScan","12","True","False","","Wave6"
"EPIC-CCN-065","V12_002.Symmetry.BracketFSM.cs","HandleFsmFilled","13","True","False","","Wave6"
"EPIC-CCN-066","V12_002.Symmetry.BracketFSM.cs","RemoveFsmOrderIdMappings","11","True","False","","Wave6"
"EPIC-CCN-067","V12_002.Symmetry.cs","SymmetryFindDispatchForMasterFill","9","True","False","","Wave6"
"EPIC-CCN-068","V12_002.Symmetry.cs","SymmetryGuardOnMasterFill","14","True","False","","Wave6"
"EPIC-CCN-069","V12_002.Symmetry.BracketFSM.cs","GetFsmExpectedPosition","14","True","False","","Wave6"
"EPIC-CCN-070","V12_002.SIMA.Lifecycle.cs","HydrateFSMsFromWorkingOrders","9","True","False","","Wave6"
"EPIC-CCN-071","V12_002.SIMA.Shadow.cs","ShadowProcessFollowerStopUpdate","12","True","False","","Wave6"
"EPIC-CCN-072","V12_002.Symmetry.BracketFSM.cs","ProcessBracketEvent","14","True","False","","Wave6"
"EPIC-CCN-073","V12_002.StickyState.cs","DeserializeSnapshot","9","True","False","","Wave6"
"EPIC-CCN-074","V12_002.UI.Panel.Handlers.cs","AttachExecutionPanelHandlers","12","True","False","","Wave6"
"EPIC-CCN-075","V12_002.UI.Panel.Handlers.cs","OnSubmitClick","12","True","False","","Wave6"
"EPIC-CCN-076","V12_002.UI.Panel.Handlers.cs","CollapseAllExecutionControls","11","True","False","","Wave6"
"EPIC-CCN-077","V12_002.UI.IPC.Server.cs","ProcessClientStream","9","True","False","","Wave6"
"EPIC-CCN-078","V12_002.UI.IPC.Server.cs","StopIpcServer","12","True","False","","Wave6"
"EPIC-CCN-079","V12_002.UI.Panel.Construction.cs","CreateSection0_Identity","13","True","False","","Wave6"
"EPIC-CCN-080","V12_002.UI.Panel.Construction.cs","PlacePanel","13","True","False","","Wave6"
